-- TIMES

INSERT INTO Times (Nome, Cidade, Estado, AnoFundacao, Estadio, CapacidadeEstadio, CorUniformePrimaria, CorUniformeSecundaria, Status)
VALUES
('Tigre FC', 'Fortaleza', 'CE', 1950, 'Estádio Tigre FC', 52000, 'Laranja', 'Preto', 1),
('Águia Azul', 'Belém', 'PA', 1951, 'Estádio Águia Azul', 52500, 'Azul', 'Branco', 1),
('Leões do Norte', 'Manaus', 'AM', 1952, 'Estádio Leões do Norte', 53000, 'Vermelho', 'Azul', 1),
('Furacão do Sul', 'Curitiba', 'PR', 1953, 'Estádio Furacão do Sul', 53500, 'Verde', 'Amarelo', 1),
('Dragões da Serra', 'Caxias', 'RS', 1954, 'Estádio Dragões da Serra', 54000, 'Roxo', 'Verde', 1),
('Cavaleiros de Aço', 'Campinas', 'SP', 1955, 'Estádio Cavaleiros de Aço', 54500, 'Cinza', 'Preto', 1),
('Estrelas do Oeste', 'Goiânia', 'GO', 1956, 'Estádio Estrelas do Oeste', 55000, 'Dourado', 'Branco', 1),
('Império Central', 'Brasília', 'DF', 1957, 'Estádio Império Central', 55500, 'Branco', 'Cinza', 1),
('Tempestade FC', 'Salvador', 'BA', 1958, 'Estádio Tempestade FC', 56000, 'Preto', 'Vermelho', 1),
('Raios da Montanha', 'Petrópolis', 'RJ', 1959, 'Estádio Raios da Montanha', 56500, 'Azul Marinho', 'Amarelo', 1),
('Marujos do Norte', 'Macapá', 'AP', 1960, 'Estádio Marujos do Norte', 57000, 'Amarelo', 'Preto', 1),
('Falcões do Vale', 'São José', 'SC', 1961, 'Estádio Falcões do Vale', 57500, 'Verde Escuro', 'Branco', 1),
('Corujas do Sul', 'Porto Alegre', 'RS', 1962, 'Estádio Corujas do Sul', 58000, 'Rosa', 'Azul', 1),
('Panteras Negras', 'Vitória', 'ES', 1963, 'Estádio Panteras Negras', 58500, 'Bordô', 'Cinza', 1),
('Lobos da Fronteira', 'Foz do Iguaçu', 'PR', 1964, 'Estádio Lobos da Fronteira', 59000, 'Azul Claro', 'Verde', 1),
('Guardiões da Areia', 'Natal', 'RN', 1965, 'Estádio Guardiões da Areia', 59500, 'Cinza Escuro', 'Preto', 1),
('Vento Leste FC', 'Aracaju', 'SE', 1966, 'Estádio Vento Leste FC', 60000, 'Lilás', 'Branco', 1),
('Titãs do Cerrado', 'Palmas', 'TO', 1967, 'Estádio Titãs do Cerrado', 60500, 'Marrom', 'Dourado', 1),
('Ciclones de Ouro', 'Uberlândia', 'MG', 1968, 'Estádio Ciclones de Ouro', 61000, 'Púrpura', 'Cinza', 1),
('Renegados FC', 'Bauru', 'SP', 1969, 'Estádio Renegados FC', 61500, 'Ciano', 'Verde', 1);

-- JOGADORES

SET IDENTITY_INSERT Jogadors ON;

INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (1, 'Luiz Otávio Mendes', '19940106', 'Coral Sea Islands', 3, 52, 1.69, 74, 0, 1);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (188, 'Sra. Gabriela da Cunha', '19931012', 'Sri Lanka', 1, 35, 1.76, 74, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (189, 'Alana da Rosa', '19890819', 'China', 3, 37, 1.97, 63, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (190, 'Kevin da Rocha', '19910423', 'Índia', 1, 29, 1.96, 68, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (191, 'Ana Laura Fernandes', '19910319', 'Navassa Island', 1, 15, 1.81, 66, 2, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (192, 'Sr. Luiz Henrique Barros', '19900428', 'Territórios Austrais Franceses', 1, 47, 1.97, 85, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (193, 'Rodrigo Nunes', '19891121', 'Brasil', 1, 47, 1.84, 72, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (194, 'Lara Cardoso', '19930505', 'Equador', 1, 34, 1.82, 68, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (195, 'Amanda da Rosa', '19931105', 'Honduras', 4, 96, 1.92, 77, 2, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (196, 'Enrico Nogueira', '19890524', 'Congo-Kinshasa', 1, 9, 1.7, 82, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (197, 'Nathan Cardoso', '19960603', 'Pitcairn', 4, 89, 1.8, 80, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (198, 'Bárbara Oliveira', '19920412', 'Mongólia', 3, 99, 1.73, 100, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (199, 'Luana Mendes', '20050219', 'Tonga', 0, 49, 1.85, 77, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (200, 'Dra. Natália Duarte', '20060812', 'Hungria', 0, 40, 1.74, 79, 2, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (201, 'Isis Porto', '19920627', 'Barbados', 3, 55, 1.67, 91, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (202, 'Sra. Isis Santos', '19970908', 'Coreia do Sul', 1, 52, 1.95, 96, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (203, 'Vitor Hugo Cunha', '20050619', 'Congo-Brazzaville', 0, 12, 1.89, 80, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (204, 'Luiz Otávio Cunha', '19941201', 'Catar', 1, 41, 1.8, 90, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (205, 'Maria Luiza Aragão', '20060912', 'Argentina', 0, 26, 1.73, 92, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (206, 'Davi Lucas Martins', '19890811', 'Colômbia', 1, 91, 1.8, 90, 2, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (207, 'Marcela Ramos', '19950526', 'Micronésia', 2, 68, 1.79, 75, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (208, 'Enzo Araújo', '20040327', 'Índia', 2, 88, 1.92, 82, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (209, 'Lucas Gabriel Costela', '19950526', 'Gibraltar', 4, 97, 1.67, 99, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (210, 'Miguel Teixeira', '19911128', 'Quiribáti', 4, 42, 1.67, 91, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (211, 'Dr. Vinicius Lopes', '20040227', 'Brasil', 3, 8, 1.89, 66, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (212, 'Eduardo Carvalho', '20000424', 'Cuba', 1, 3, 1.99, 81, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (213, 'Alice Farias', '19950521', 'Taiwan', 1, 78, 1.94, 86, 0, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (214, 'Rodrigo Martins', '19900929', 'Grécia', 4, 15, 1.94, 69, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (215, 'Clarice Teixeira', '19980207', 'Espanha', 4, 86, 1.98, 87, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (216, 'Sarah Alves', '20000420', 'Guernsey', 0, 61, 1.81, 99, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (217, 'Benício Rezende', '19980426', 'República Dominicana', 3, 9, 1.66, 82, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (218, 'Luigi Santos', '20030301', 'Egito', 1, 81, 1.77, 98, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (219, 'Júlia Cunha', '20021201', 'São Cristóvão e Neves', 3, 50, 1.82, 89, 0, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (220, 'Eduarda Silveira', '20060207', 'Ilhas Cook', 3, 49, 1.8, 79, 0, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (221, 'Gabrielly Teixeira', '20020501', 'Canadá', 3, 69, 1.93, 75, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (222, 'Ian Silva', '20050505', 'Butão', 1, 85, 1.84, 78, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (223, 'Yago Cunha', '19920322', 'Burundi', 2, 73, 1.78, 70, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (224, 'Vinicius Correia', '20000802', 'Jersey', 1, 82, 1.67, 91, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (225, 'Alice Viana', '20030825', 'Usbequistão', 4, 58, 1.93, 80, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (226, 'Camila da Mata', '19911025', 'Senegal', 3, 6, 1.94, 93, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (227, 'Maria Sophia da Conceição', '19891114', 'Quiribáti', 1, 13, 1.88, 71, 0, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (228, 'Dr. Pedro Lucas Cardoso', '20030702', 'Indonésia', 2, 4, 1.73, 93, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (229, 'Kamilly da Costa', '19940111', 'Guernsey', 0, 93, 1.91, 83, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (230, 'Ana Clara Campos', '20001226', 'Zimbabué', 3, 74, 1.92, 91, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (231, 'Emilly da Rosa', '19920614', 'Mayotte', 4, 84, 2.0, 69, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (232, 'Sabrina Santos', '20021010', 'Haiti', 3, 6, 1.88, 67, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (233, 'Isis Gomes', '20010114', 'Armênia', 4, 14, 1.68, 63, 0, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (234, 'Sr. Felipe Caldeira', '19980222', 'Japão', 3, 67, 1.75, 73, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (235, 'Cauã da Cunha', '20040302', 'Montenegro', 2, 28, 1.67, 98, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (236, 'Agatha Gomes', '20060506', 'Luxemburgo', 0, 58, 1.84, 63, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (237, 'Gabrielly da Paz', '20041021', 'Monserrate', 2, 36, 1.88, 83, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (238, 'Stella Nascimento', '19900812', 'Índia', 3, 49, 1.97, 81, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (239, 'Pietra Cardoso', '19980921', 'Ilhas Cook', 3, 25, 1.71, 85, 2, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (240, 'Ana Julia da Rosa', '20020429', 'Senegal', 2, 17, 1.76, 88, 1, 8);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (241, 'Pedro Silveira', '19890704', 'Jan Mayen', 1, 46, 1.98, 80, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (242, 'Luiz Otávio da Mata', '19950815', 'Antártica', 1, 97, 1.76, 98, 0, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (243, 'Vinicius da Conceição', '20040219', 'Turquemenistão', 2, 74, 1.95, 81, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (244, 'Sophia Ramos', '19960128', 'Camarões', 4, 23, 1.78, 100, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (245, 'Luna Carvalho', '19901105', 'Jordânia', 3, 88, 1.8, 89, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (246, 'Bernardo Souza', '19991011', 'Benim', 1, 21, 1.73, 61, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (247, 'Samuel Melo', '19890512', 'Costa do Marfim', 0, 88, 1.69, 77, 0, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (248, 'Rodrigo Viana', '20010406', 'Paraguai', 2, 75, 1.93, 67, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (249, 'Maria Fernanda Dias', '19920613', 'São Cristóvão e Neves', 1, 43, 1.71, 92, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (250, 'Sra. Valentina Moreira', '19891205', 'Ilhas Cook', 3, 58, 1.83, 90, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (251, 'Clarice Porto', '19890720', 'Ilhas Falkland', 0, 62, 1.76, 70, 0, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (252, 'Leandro Nascimento', '20011013', 'Ilha Bouvet', 4, 1, 1.89, 61, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (253, 'Guilherme Melo', '19921009', 'Indonésia', 4, 46, 1.83, 81, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (254, 'Sra. Isabelly Duarte', '19950831', 'Suécia', 2, 90, 1.88, 70, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (255, 'Ana Laura Peixoto', '20051206', 'Barbados', 3, 69, 1.88, 100, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (256, 'Melissa da Paz', '20010102', 'Jamaica', 3, 35, 1.89, 76, 0, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (257, 'Rafael da Costa', '19940618', 'Áustria', 4, 39, 1.7, 74, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (258, 'Fernando Fernandes', '20050220', 'Zimbabué', 3, 21, 1.85, 69, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (259, 'Vitor Hugo Cavalcanti', '20011204', 'Wallis e Futuna', 1, 8, 1.71, 84, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (260, 'Alícia Campos', '20070406', 'Sudão', 1, 38, 1.87, 71, 0, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (261, 'Srta. Luana da Conceição', '19940718', 'Azerbaijão', 2, 50, 1.9, 71, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (262, 'Leonardo Costa', '20070125', 'Croácia', 1, 30, 1.75, 100, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (263, 'Erick Ramos', '19961210', 'Haiti', 2, 63, 1.79, 65, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (264, 'Larissa Mendes', '19921110', 'Líbia', 4, 76, 1.7, 72, 0, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (265, 'Vitor Hugo Moraes', '19991006', 'Vanuatu', 3, 90, 1.98, 90, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (266, 'Leonardo Jesus', '19960712', 'Tokelau', 3, 89, 1.75, 89, 1, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (267, 'Emanuelly Correia', '19911220', 'Trindade e Tobago', 3, 9, 1.95, 66, 0, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (268, 'Larissa Cardoso', '19960207', 'Portugal', 3, 49, 1.75, 99, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (269, 'Julia Nunes', '19970922', 'Jamaica', 0, 95, 1.8, 79, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (270, 'Elisa Azevedo', '20030315', 'Paraguai', 3, 69, 1.97, 61, 2, 9);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (271, 'Sabrina Moraes', '20000205', 'Iêmen', 0, 75, 1.98, 78, 2, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (272, 'Alexia Souza', '19960727', 'Filipinas', 3, 78, 1.9, 82, 2, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (273, 'Stella Lopes', '20021227', 'Estônia', 2, 66, 1.72, 69, 1, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (274, 'Sr. Luiz Gustavo das Neves', '20051121', 'Ruanda', 1, 71, 1.83, 92, 0, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (275, 'Lucca Ferreira', '19921206', 'Suécia', 4, 31, 1.88, 76, 2, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (276, 'Anthony Porto', '20010918', 'Niue', 1, 65, 1.99, 93, 0, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (277, 'André da Rocha', '20030303', 'Botsuana', 0, 66, 1.99, 61, 1, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (278, 'Luna Aragão', '20061023', 'Faroé', 2, 73, 1.94, 89, 1, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (279, 'Rodrigo Mendes', '20011031', 'Paracel Islands', 4, 16, 1.72, 98, 0, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (280, 'Juliana Moraes', '19941013', 'Irlanda', 2, 39, 1.82, 89, 2, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (281, 'Dr. Gustavo Sales', '19900423', 'Bielorrússia', 0, 79, 1.96, 92, 0, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (282, 'Samuel Ramos', '20051012', 'Svalbard e Jan Mayen', 1, 72, 1.96, 90, 0, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (283, 'Mariana Gomes', '20001012', 'Peru', 1, 11, 1.76, 70, 2, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (284, 'Luiz Miguel Costela', '19921016', 'Áustria', 4, 72, 1.83, 69, 0, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (285, 'Nathan Pereira', '20021209', 'Afeganistão', 0, 46, 1.81, 81, 2, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (286, 'Sabrina Freitas', '19950325', 'Fiji', 1, 17, 1.84, 85, 2, 10);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (287, 'Pedro Henrique Cardoso', '19950223', 'Guernsey', 4, 80, 1.89, 68, 1, 10);
